CampaignID,CampaignName,StartDate,EndDate,Channel,Spend,LeadsGenerated,Conversions,RevenueGenerated,Clicks,Impressions
CAMP00001,Summer Sale,2024-02-24,2024-03-03,Influencer,18409.9,354,6,385.48,17521,192731
CAMP00002,Influencer Boost,2024-08-23,2024-09-19,Event,12267.96,4085,360,51139.56,18374,367480
CAMP00003,Brand Awareness,2024-07-16,2024-08-08,Event,5487.16,4878,471,59439.25,3155,18930
CAMP00004,Festive Ads,2024-10-14,2024-10-24,Email,9126.31,310,19,4527.28,563,8445
CAMP00005,Festive Ads,2024-02-07,2024-02-21,Influencer,8241.31,4982,1360,84055.94,3989,59835
CAMP00006,Brand Awareness,2024-05-01,2024-05-08,Social Media,17334.83,3377,640,62117.9,5910,35460
CAMP00007,Brand Awareness,2024-03-14,2024-04-02,Email,2598.48,1792,24,6646.09,9697,116364
CAMP00008,Product Launch,2024-03-25,2024-04-14,Social Media,3769.55,3071,512,121595.16,9105,154785
CAMP00009,Winter Sale,2024-10-22,2024-11-14,Email,18064.27,4764,1306,65755.06,8463,110019
CAMP00010,Product Launch,2024-01-12,2024-02-04,Email,10743.41,3589,513,83001.59,6297,81861
CAMP00011,Festive Ads,2024-03-04,2024-03-12,Email,9147.34,4993,781,55190.52,13139,65695
CAMP00012,Influencer Boost,2024-10-06,2024-11-02,Influencer,15615.15,924,98,25085.79,11234,89872
CAMP00013,Summer Sale,2024-04-22,2024-05-06,Event,13138.15,942,93,12248.13,9096,54576
CAMP00014,Summer Sale,2024-12-05,2024-12-26,Social Media,8943.75,3110,832,218184.23,12372,61860
CAMP00015,Winter Sale,2024-06-14,2024-06-21,Email,11872.1,1279,307,32616.42,17515,262725
CAMP00016,Summer Sale,2024-04-03,2024-04-22,Event,13324.96,4826,817,73724.81,12512,187680
CAMP00017,Email Blast,2024-09-06,2024-09-14,Social Media,12607.85,1922,221,22518.71,14005,140050
CAMP00018,Festive Ads,2024-12-03,2024-12-19,Influencer,9030.83,2718,559,36359.41,565,5085
CAMP00019,Product Launch,2024-01-08,2024-01-31,Email,7415.41,2577,130,7590.09,6919,124542
CAMP00020,Summer Sale,2024-02-01,2024-02-21,Influencer,13217.61,61,11,2855.12,13937,181181
CAMP00021,Winter Sale,2024-01-25,2024-02-11,Event,15634.35,4264,143,37231.49,19763,395260
CAMP00022,Product Launch,2024-08-03,2024-08-16,Social Media,10048.53,2609,446,126168.22,267,1869
CAMP00023,Festive Ads,2024-02-14,2024-03-14,Influencer,18785.17,1619,112,8283.43,7063,113008
CAMP00024,Winter Sale,2024-09-25,2024-10-03,Influencer,13390.18,2682,789,234104.29,16830,235620
CAMP00025,Brand Awareness,2024-07-26,2024-08-11,Influencer,505.96,1828,28,2420.72,9762,58572
CAMP00026,Product Launch,2024-03-20,2024-03-30,Social Media,13461.62,1360,131,35274.37,7713,38565
CAMP00027,Brand Awareness,2024-04-30,2024-05-25,Event,7540.73,3781,1075,95184.48,399,3192
CAMP00028,Influencer Boost,2024-02-18,2024-03-16,Email,8642.69,3862,930,180578.11,4375,26250
CAMP00029,Influencer Boost,2024-11-16,2024-12-03,Social Media,19808.76,2784,281,69340.82,19269,289035
CAMP00030,Winter Sale,2024-12-03,2025-01-02,Event,1937.79,562,130,20960.02,6338,31690
CAMP00031,Summer Sale,2024-05-09,2024-05-19,Social Media,7810.02,1597,24,6312.24,1575,26775
CAMP00032,Product Launch,2024-09-24,2024-10-01,Event,7773.8,1265,138,37202.97,6661,133220
CAMP00033,Summer Sale,2024-07-29,2024-08-19,Email,19879.32,3404,238,23575.41,2949,32439
CAMP00034,Festive Ads,2024-08-13,2024-08-29,Influencer,12507.05,1428,134,25985.33,19005,380100
CAMP00035,Influencer Boost,2024-07-04,2024-07-31,Social Media,2105.01,2430,635,115499.02,6370,127400
CAMP00036,Winter Sale,2024-11-29,2024-12-28,Influencer,18145.45,1972,5,900.13,7093,42558
CAMP00037,Email Blast,2024-03-10,2024-04-05,Event,19724.7,1043,287,63397.68,2251,36016
CAMP00038,Influencer Boost,2024-12-24,2024-12-29,Event,18143.57,1634,165,47967.47,4809,28854
CAMP00039,Summer Sale,2024-10-23,2024-11-12,Event,4035.34,1102,195,36389.22,8482,84820
CAMP00040,Influencer Boost,2024-11-27,2024-12-15,Email,18199.9,3685,952,233409.73,14103,141030
CAMP00041,Influencer Boost,2024-03-10,2024-03-27,Event,8541.26,735,15,3072.93,8919,169461
CAMP00042,Influencer Boost,2024-09-14,2024-10-13,Email,2635.59,1642,65,17803.34,11242,157388
CAMP00043,Influencer Boost,2024-10-27,2024-11-08,Event,15652.91,2476,612,140643.04,14505,72525
CAMP00044,Email Blast,2024-05-16,2024-06-15,Event,19850.79,2264,224,39808.76,6280,113040
CAMP00045,Influencer Boost,2024-06-03,2024-06-22,Email,7562.71,3134,543,122035.76,11374,125114
CAMP00046,Winter Sale,2024-01-26,2024-02-02,Email,3061.64,2200,457,112682.5,19939,299085
CAMP00047,Festive Ads,2024-02-21,2024-03-14,Social Media,757.38,4476,873,179320.62,18992,322864
CAMP00048,Influencer Boost,2024-09-16,2024-09-22,Influencer,19583.06,1149,20,3076.2,15532,201916
CAMP00049,Winter Sale,2024-07-06,2024-07-14,Event,3393.66,3185,806,102155.56,9452,113424
CAMP00050,Brand Awareness,2024-04-11,2024-05-11,Influencer,7688.72,3084,6,1387.95,5998,113962
CAMP00051,Festive Ads,2024-12-08,2024-12-18,Social Media,7226.47,3890,1036,206872.5,11847,201399
CAMP00052,Email Blast,2024-02-26,2024-03-08,Influencer,18557.83,3779,1046,128874.56,13683,68415
CAMP00053,Product Launch,2024-11-08,2024-12-03,Event,6870.23,1081,37,7488.72,13236,238248
CAMP00054,Product Launch,2024-07-12,2024-08-09,Event,830.72,2017,149,9419.46,105,1995
CAMP00055,Email Blast,2024-12-03,2024-12-28,Email,16394.68,3491,966,212411.42,3075,46125
CAMP00056,Brand Awareness,2024-02-25,2024-03-09,Email,8466.41,4666,248,72025.22,13899,264081
CAMP00057,Brand Awareness,2024-07-16,2024-08-05,Influencer,4377.35,4395,983,262686.58,918,15606
CAMP00058,Influencer Boost,2024-05-10,2024-06-03,Influencer,14921.42,1361,214,29736.37,5819,52371
CAMP00059,Winter Sale,2024-04-06,2024-04-28,Email,941.28,3017,549,96152.5,12158,182370
CAMP00060,Product Launch,2024-04-06,2024-05-01,Social Media,9550.36,109,29,3733.34,16566,82830
CAMP00061,Email Blast,2024-02-23,2024-03-01,Influencer,13972.14,1591,121,33384.51,12126,60630
CAMP00062,Email Blast,2024-09-20,2024-09-28,Email,15093.8,885,200,53147.83,11213,56065
CAMP00063,Influencer Boost,2024-06-15,2024-06-30,Event,11420.59,3361,651,184214.49,1445,11560
CAMP00064,Winter Sale,2024-01-16,2024-01-28,Email,14643.61,421,118,12146.09,1706,10236
CAMP00065,Email Blast,2024-06-01,2024-06-24,Influencer,8198.99,3578,567,35874.23,2574,15444
CAMP00066,Product Launch,2024-08-10,2024-09-04,Influencer,17292.63,793,90,17416.45,11602,104418
CAMP00067,Influencer Boost,2024-05-28,2024-06-08,Influencer,7784.13,4331,1055,118596.07,5265,89505
CAMP00068,Festive Ads,2024-11-05,2024-11-24,Event,8980.19,4140,442,35016.69,16849,117943
CAMP00069,Product Launch,2024-09-05,2024-09-14,Influencer,17654.75,4248,750,212411.22,11179,145327
CAMP00070,Summer Sale,2024-12-19,2024-12-25,Email,7082.72,3526,598,156267.34,18625,204875
CAMP00071,Email Blast,2024-07-28,2024-08-16,Social Media,11257.85,1772,308,39972.82,5832,69984
CAMP00072,Winter Sale,2024-11-17,2024-11-26,Influencer,19715.34,3765,226,23149.56,17097,170970
CAMP00073,Product Launch,2024-07-02,2024-07-26,Social Media,9457.83,4047,1057,314781.76,9986,69902
CAMP00074,Product Launch,2024-12-21,2025-01-02,Social Media,13534.91,3268,662,103962.11,15443,138987
CAMP00075,Festive Ads,2024-11-05,2024-12-03,Event,3394.66,2319,71,14458.63,17869,142952
CAMP00076,Email Blast,2024-09-25,2024-10-14,Email,7296.27,1144,88,12892.42,19382,213202
CAMP00077,Winter Sale,2024-07-10,2024-08-01,Social Media,13658.11,1656,64,12422.58,16903,185933
CAMP00078,Summer Sale,2024-11-07,2024-11-24,Event,1294.33,1973,200,56494.2,10579,190422
CAMP00079,Summer Sale,2024-06-11,2024-06-22,Social Media,5126.43,2330,651,155458.73,3673,73460
CAMP00080,Brand Awareness,2024-04-12,2024-05-04,Email,12775.64,4912,855,203620.75,5989,113791
CAMP00081,Influencer Boost,2024-02-06,2024-02-16,Event,18685.69,495,55,12167.31,5348,106960
CAMP00082,Winter Sale,2024-12-14,2024-12-23,Event,3480.24,3833,296,15942.8,2383,11915
CAMP00083,Influencer Boost,2024-01-27,2024-02-08,Event,8523.38,877,180,17975.65,7189,115024
CAMP00084,Summer Sale,2024-09-02,2024-09-09,Event,7474.35,4278,137,12336.72,6176,30880
CAMP00085,Product Launch,2024-09-17,2024-10-06,Email,12032.98,3143,25,5653.05,5225,94050
CAMP00086,Winter Sale,2024-08-05,2024-08-14,Social Media,19100.53,2166,636,102817.54,13621,217936
CAMP00087,Email Blast,2024-12-08,2024-12-28,Email,4469.2,1736,365,46486.82,11184,55920
CAMP00088,Email Blast,2024-08-02,2024-08-15,Social Media,2903.65,69,7,1452.46,3123,49968
CAMP00089,Festive Ads,2024-03-15,2024-04-05,Event,14454.42,1485,77,4953.33,18119,362380
CAMP00090,Festive Ads,2024-05-13,2024-06-10,Email,535.89,1969,408,71526.51,13008,117072
CAMP00091,Influencer Boost,2024-08-28,2024-09-10,Email,14812.29,3391,454,124299.54,9655,135170
CAMP00092,Summer Sale,2024-05-17,2024-05-26,Event,4544.59,1702,73,12507.54,14124,254232
CAMP00093,Email Blast,2024-11-13,2024-11-24,Influencer,14505.59,3548,632,113797.94,1244,13684
CAMP00094,Winter Sale,2024-01-28,2024-02-12,Email,19042.42,2251,258,33700.17,2010,32160
CAMP00095,Winter Sale,2024-09-02,2024-09-29,Influencer,16587.85,4431,1131,264373.08,14918,134262
CAMP00096,Influencer Boost,2024-02-20,2024-03-09,Event,15325.16,2346,248,57953.75,8466,135456
CAMP00097,Winter Sale,2024-02-06,2024-02-29,Email,3989.6,4996,392,115022.29,8265,123975
CAMP00098,Winter Sale,2024-01-07,2024-02-06,Event,12494.95,105,24,3946.64,17025,136200
CAMP00099,Influencer Boost,2024-05-25,2024-06-17,Influencer,7889.8,1504,367,32363.18,3405,20430
CAMP00100,Brand Awareness,2024-01-02,2024-01-16,Event,5609.09,2954,488,53593.14,18531,222372
CAMP00101,Email Blast,2024-05-03,2024-05-31,Email,2912.21,1438,153,22946.19,9770,185630
CAMP00102,Festive Ads,2024-08-15,2024-09-11,Influencer,19494.51,3177,905,172598.38,6081,42567
CAMP00103,Influencer Boost,2024-05-29,2024-06-27,Social Media,10640.68,2754,15,1170.21,16358,179938
CAMP00104,Email Blast,2024-06-14,2024-07-10,Social Media,14763.63,182,51,4977.52,15752,173272
CAMP00105,Influencer Boost,2024-06-05,2024-07-02,Influencer,8011.7,4621,407,105326.5,11204,67224
CAMP00106,Summer Sale,2024-09-03,2024-09-22,Influencer,7542.73,341,16,2776.76,10579,84632
CAMP00107,Influencer Boost,2024-08-25,2024-09-04,Influencer,19838.07,3711,914,66629.43,8486,161234
CAMP00108,Influencer Boost,2024-05-26,2024-06-22,Email,2240.49,2315,445,32768.57,14714,147140
CAMP00109,Email Blast,2024-10-21,2024-11-20,Influencer,7908.44,1012,196,31442.86,10827,97443
CAMP00110,Festive Ads,2024-05-20,2024-06-14,Event,9625.84,953,65,11688.96,3571,21426
CAMP00111,Product Launch,2024-06-09,2024-06-30,Social Media,10327.32,3140,169,28039.5,8176,147168
CAMP00112,Product Launch,2024-06-05,2024-06-12,Social Media,14966.52,4553,182,15553.29,1375,24750
CAMP00113,Influencer Boost,2024-04-06,2024-04-19,Social Media,5931.46,3590,555,71056.9,7755,139590
CAMP00114,Summer Sale,2024-07-29,2024-08-10,Email,16709.18,1976,56,10597.9,2692,29612
CAMP00115,Influencer Boost,2024-05-25,2024-06-12,Event,14889.45,719,152,15907.07,13594,258286
CAMP00116,Influencer Boost,2024-01-20,2024-02-06,Social Media,16491.85,1312,331,72788.31,8344,141848
CAMP00117,Summer Sale,2024-04-13,2024-04-22,Influencer,9549.91,4397,542,42356.32,15379,230685
CAMP00118,Festive Ads,2024-11-19,2024-12-09,Email,8211.61,473,81,20733.46,11186,223720
CAMP00119,Summer Sale,2024-07-22,2024-08-08,Social Media,1426.78,2898,624,119448.21,18253,328554
CAMP00120,Festive Ads,2024-04-03,2024-04-10,Influencer,7849.41,448,41,10941.48,5234,36638
CAMP00121,Festive Ads,2024-02-07,2024-03-05,Social Media,15996.89,4778,1065,244079.24,11836,236720
CAMP00122,Product Launch,2024-06-06,2024-06-14,Email,6658.17,1919,120,35821.82,18262,219144
CAMP00123,Product Launch,2024-08-16,2024-09-01,Event,19491.91,155,24,1995.96,1890,13230
CAMP00124,Influencer Boost,2024-04-29,2024-05-05,Email,14611.36,149,38,5780.35,12825,89775
CAMP00125,Email Blast,2024-02-10,2024-02-20,Social Media,13973.32,4381,851,209633.43,12705,241395
CAMP00126,Email Blast,2024-04-05,2024-04-28,Event,12187.31,3799,1033,252711.68,8006,96072
CAMP00127,Winter Sale,2024-12-15,2024-12-22,Email,13843.66,4477,288,54656.77,5261,99959
CAMP00128,Email Blast,2024-02-25,2024-03-15,Email,13681.86,4102,654,125416.21,2462,22158
CAMP00129,Product Launch,2024-07-16,2024-07-22,Event,4023.48,1353,246,46738.51,858,8580
CAMP00130,Festive Ads,2024-04-07,2024-04-23,Influencer,19767.39,2200,286,60155.24,9799,137186
CAMP00131,Summer Sale,2024-05-17,2024-05-26,Email,6505.97,3094,371,69660.25,10725,214500
CAMP00132,Winter Sale,2024-09-05,2024-10-04,Social Media,9913.96,926,66,10383.19,6835,116195
CAMP00133,Summer Sale,2024-12-10,2024-12-28,Email,13597.09,2295,355,23907.91,8319,116466
CAMP00134,Brand Awareness,2024-01-02,2024-01-19,Influencer,19999.5,3044,900,226628.36,11613,220647
CAMP00135,Festive Ads,2024-03-04,2024-03-26,Influencer,11258.4,1261,91,13092.72,9980,159680
CAMP00136,Email Blast,2024-05-01,2024-05-10,Social Media,1870.8,4815,179,41979.35,14216,170592
CAMP00137,Email Blast,2024-02-25,2024-03-03,Influencer,1786.38,1653,127,25338.51,7270,109050
CAMP00138,Brand Awareness,2024-01-06,2024-02-02,Email,7988.42,799,134,10153.92,16253,97518
CAMP00139,Email Blast,2024-11-29,2024-12-22,Social Media,14018.58,841,199,38566.43,5816,75608
CAMP00140,Product Launch,2024-07-02,2024-07-24,Influencer,5856.71,4411,952,55893.35,11777,82439
CAMP00141,Email Blast,2024-02-07,2024-02-13,Influencer,11386.66,2605,682,111945.7,12588,176232
CAMP00142,Email Blast,2024-10-03,2024-10-23,Event,19951.47,2981,150,33471.9,11233,123563
CAMP00143,Summer Sale,2024-12-10,2024-12-16,Email,11773.78,2127,66,8494.55,19509,195090
